"Laimnesis, Solvita, Solvija"
"Indulis, Ivo, Iva, Ivis"
"Miervaldis, Miervalda, Ringolds"
"Spodra, Ilva, Ilvita"
"S?manis, Zintis"
"Spulga, Arnita"
"Rota, Zigm?rs, Juli?ns, Digm?rs"
"Gatis, Ivanda"
"Kaspars, Aksels, Alta"
"Tatjana, Dorisa"
"Smaida, Franciska"
"Reinis, Reina, Reinholds, Ren?ts"
"Harijs, ?rijs, ?ris, Aira"
"Roberts, Roberta, Raitis, Raits"
"F?likss, Felicita"
"Lidija, Lida"
"Tenis, Dravis"
"Antons, Antis, Antonijs"
"Andulis, Alnis"
"O??erts, Orests, A??irds, A??is"
"Agnese, Agnija, Agne"
Austris
"Grieta, Strauta, Rebeka"
"Kri?s, Ksenija, Eglons, Egle"
"Zigurds, Sigurds, Sigvards"
"Ansis, Agnis, Agneta"
"Ilze, Ildze, Izolde"
"K?rlis, Spodris"
"Aivars, Val?rijs, Bille"
"T?na, Valent?na, P?rsla"
"Tekla, Violeta"
"Brigita, Indra, Indars, Indris"
"Sp?dola, Sonora"
"A?da, Ida, Vida"
"Daila, Veronika, Dominiks"
"Agate, Selga, Silga, Sinilga"
"Dace, D?rta, Dora"
"Nelda, Rihards, Ri?ards, Ri?ards"
"Aldona, ?eslavs"
"Simona, Apolonija"
"Paul?ne, Paula, Jasm?na"
"Laima, Laimdota"
"Karl?na, L?na"
"Malda, Melita"
Valent?ns
"Alvils, Olafs, Aloizs, Olavs"
"J?lija, D?uljeta"
"Donats, Konstance"
"Kora, Kintija"
"Zane, Zuzanna"
"Vitauts, Smuidra, Smuidris"
"Eleonora, Ariadne"
"?rija, Rigonda, Adrians, Adri?na, Adrija"
"Haralds, Almants"
"Di?na, Dina, Dins"
"Alma, Annemarija"
"Evel?na, Aur?lija, M?tra"
"L?vija, L?va, Andra"
"Skaidr?te, Justs, Skaidra"
?
"Ivars, Ilgvars"
"Lav?ze, Lu?ze, Laila"
"T?lis, T?lavs, Marts"
